Protein.IDs	LFQ.intensity.1_0h_RS1	LFQ.intensity.2_05h_RS1	LFQ.intensity.3_1h_RS1	LFQ.intensity.4_2h_RS1	LFQ.intensity.5_8h_RS1	LFQ.intensity.6_16h_RS1	LFQ.intensity.7_24h_RS1	LFQ.intensity.8_30h_RS1	LFQ.intensity.1_0h_RS3	LFQ.intensity.2_05h_RS3	LFQ.intensity.3_1h_RS3	LFQ.intensity.4_2h_RS3	LFQ.intensity.5_8h_RS3	LFQ.intensity.6_16h_RS3	LFQ.intensity.7_24h_RS3	LFQ.intensity.8_30h_RS3
ENSG00000033178	NA	NA	NA	21.6589662925042	20.548867052165	20.6239064889683	NA	NA	22.3080256643353	21.9105329432891	22.2752037936071	NA	NA	21.8150329874265	NA	22.3724676284363
NA	NA	NA	NA	NA	NA	18.3946469051452	18.4935740362344	NA	NA	NA	NA	19.1840326726422	17.8686417243784	NA	NA	NA
NA	NA	21.3902130486998	20.9669813375016	NA	NA	20.9353147085571	20.3069694982305	20.4830599778717	20.4609397745781	20.7091881703963	20.0038802093466	20.4213170024445	20.5652322661908	NA	NA	19.0720854879798
NA	18.3567700351086	NA	18.4219333193101	18.2447447520634	18.6877378974635	NA	NA	NA	NA	NA	18.2655417965014	NA	17.1797147483913	16.8495272752325	17.1591617952264	18.0006382583942
ENSG00000159593	21.1079551766161	20.5401885936847	NA	20.7148156667023	NA	NA	20.1357092861044	19.3412147550383	21.6005045964432	NA	21.4342555994849	20.4941407147308	19.9295040389244	19.767201650528	19.7850213577391	NA
ENSG00000107819	21.8527382739819	21.9754729636198	21.4005688652828	21.2308132271202	21.8167524356445	NA	NA	NA	NA	21.4954100482045	20.9579437233906	NA	21.5351652441844	NA	21.6255572465437	NA
NA	NA	NA	20.9509858302777	NA	NA	20.7642560857637	20.3126303977488	NA	22.298967593908	21.6366617890591	22.3875598519264	NA	22.2648491714414	NA	22.0328824704105	22.3379963938512
ENSG00000205765	NA	21.1282385568557	NA	21.2716180421773	20.0283701511733	NA	NA	20.2510708983285	22.3594160649582	NA	21.9223419472326	NA	NA	NA	21.066906425856	21.0194387022652
ENSG00000165609	NA	NA	23.9865038484642	23.9856355919136	23.4878753535491	23.6361085872267	NA	22.9580853723884	24.5929191385582	24.2233931115079	24.269208309785	NA	24.0969981897484	24.0016143574971	NA	24.2368095352787
NA	18.5781736465742	NA	17.3185781140633	17.0014081943928	17.376532412848	17.007662424618	17.1282763215996	NA	17.68749870972	NA	NA	NA	17.0703306232855	NA	NA	NA
NA	NA	21.7552364191355	21.8549459761797	NA	21.8160101980257	NA	21.5757017299584	NA	21.9014650166205	22.1654872987099	NA	21.9089950448765	21.6321414531692	20.8661982930238	NA	NA
ENSG00000165169	NA	20.8040427663754	NA	20.9897465041157	20.6150404621794	NA	NA	19.3962159275523	NA	NA	20.3086367757082	NA	NA	19.8379358526315	20.2358459573898	20.0597299702387
NA	20.5524364537875	20.2375974387764	20.7727366128728	19.0945004171957	20.4555319151148	NA	NA	20.5028085005257	20.2472507206621	20.226703818325	NA	20.810490049074	NA	19.9317128316153	NA	NA
NA	NA	22.4868939283134	NA	NA	22.1574604310145	22.0680881018747	21.995451118274	20.8335263423785	22.1295911769414	NA	22.456309290072	22.2059495182627	21.9193987458614	21.6303204571089	21.67430780218	NA
