ENSG	R1t0	R1t0.5	R1t1	R1t2	R1t8	R1t16	R1t24	R1t30	R3t0	R3t0.5	R3t1	R3t2	R3t8	R3t16	R3t24	R3t30
ENSG00000033178	6.7342772943	6.7250096874	6.7173431779	6.7093723795	7.1768048228	6.6051994924	6.6573574355	6.7185075339	6.5453797138	6.6409593298	6.7360690769	6.9273531476	6.8284000583	6.9597048848	6.9076596875	6.8520248495
ENSG00000188739	10.7274553351	10.7185658306	10.7095034768	10.6892756215	10.5086380494	10.7069429669	10.7791154195	10.8231313711	10.394168115	10.5204685976	10.6465963832	10.9017103149	10.5987584747	10.6902467348	10.6945752968	10.6904513235
ENSG00000164828	9.7218707538	9.5696298425	9.4167205042	9.1061477058	9.1156998556	9.5148842182	9.4340290181	9.4416866538	9.2839818511	9.3874182169	9.491307137	9.6988401368	9.4214901982	9.2882359696	9.4635832173	9.6281627983
ENSG00000125107	7.376105089	7.3912254041	7.4069957933	7.4399912188	6.8792581941	7.4183402553	7.5441110229	7.5939444163	7.193002312	7.2386622443	7.2841304835	7.3733706276	6.9240554011	7.5354299692	7.3678421526	7.3522344415
ENSG00000159593	12.1354373567	12.0782846053	12.0212460627	11.9060058657	11.2902154736	11.408528688	11.8707935987	12.260176323	12.2469525054	12.2149967612	12.1827926246	12.1180054871	11.2756199781	11.6527077204	11.9853219954	12.2302974588
ENSG00000107819	10.0523777447	9.9776470105	9.9028754628	9.7525861027	9.0890482206	9.5201319268	9.8061781808	10.0062620233	9.9597129694	9.817107162	9.6746731988	9.389987004	9.652617441	9.602632527	9.6150867768	9.6311850848
ENSG00000184207	9.7560778084	9.7324432184	9.7087341808	9.6612556452	9.9783980813	9.9035470539	9.698116911	9.5714771834	10.0930588293	10.0605868898	10.02873775	9.9638027112	9.6157110662	9.6323151809	9.7632218887	9.8700832876
ENSG00000205765	10.7687208156	10.9244391196	11.0801181771	11.3931205116	12.3498280603	11.6667146306	11.2211577542	10.9074845782	11.0139325706	11.0503444283	11.0871649332	11.1633350819	11.435580021	11.3612522094	11.1989117249	11.0668885996
ENSG00000165609	12.6041784096	12.5538188094	12.5042331107	12.407906212	12.3090843629	12.4868101497	12.536020388	12.5574484527	12.5608262544	12.487339301	12.4137663089	12.267072023	12.8122336221	12.6928470476	12.6117941722	12.5566236597
ENSG00000132471	9.276357157	9.2845940074	9.2927768652	9.310023439	9.3977457585	9.4544973961	9.4447180675	9.4278629017	9.7152260826	9.5834252863	9.4522360877	9.193847135	10.044799987	9.2817497592	9.3393043428	9.2561677285
ENSG00000143153	14.329817568	14.388182609	14.4469997383	14.5684934726	15.2703797561	14.5966769676	14.5979881815	14.6657658893	14.288573164	14.3113488648	14.3337190864	14.3763870879	13.889764629	14.1892048675	14.4513731326	14.6419642946
ENSG00000165169	9.8569478303	9.8004190459	9.7439454006	9.6308432769	9.3234970142	9.3237416726	9.4630569136	9.515300129	9.7797095966	9.7755276569	9.7716967433	9.7655044836	9.8439167305	9.6313655192	9.5861351517	9.5643613854
ENSG00000159111	12.180016572	12.2466589205	12.3130297006	12.4453220422	12.5888456473	12.5130720235	12.4293892899	12.3608978334	12.3110518195	12.2497503564	12.1880705508	12.0631720195	12.5370612536	12.5125966235	12.4807655621	12.4579674672
ENSG00000206053	10.6862790312	10.6708781252	10.6555033548	10.6250437307	10.6480802258	10.567362927	10.4979355997	10.4478054078	10.6556144262	10.6598711389	10.6642345701	10.6738859776	10.2080376748	10.3146114959	10.4425986109	10.5414824681
ENSG00000214026	11.0489605423	10.9064984284	10.7641111209	10.4789727806	10.0633878419	10.4764776068	10.6815989139	10.8650612654	10.9469099748	10.8607729078	10.774679577	10.6007071644	11.0627158343	10.9479603438	10.9685103946	10.9968340839
ENSG00000174851	13.474552309	13.4681839274	13.4608273071	13.4418088197	13.4139475515	14.1234271207	14.3704999521	14.5104208927	13.5658624847	13.5072074946	13.4489933223	13.334279117	14.3474333573	14.3480808548	14.1280354438	14.0455184146
ENSG00000101596	9.0112782143	9.0500233877	9.0893605382	9.1706099481	8.9929388749	9.0347381674	9.0355573703	9.0311507658	8.5214227778	8.6330597674	8.7435377891	8.9584678206	8.8512219784	8.887490055	8.9352054181	8.9699277765
ENSG00000087460	6.8029550138	6.7039287348	6.6049874998	6.4080894688	6.1383844436	6.6019102467	6.8323667136	6.9830825727	6.4408284238	6.4339017723	6.4267113929	6.4125402969	6.3841646995	6.4147680071	6.6919373689	6.9120702028
ENSG00000134183	4.2047337278	4.3219310227	4.4390540765	4.6729811235	4.1658525043	4.3518875855	4.5367544059	4.6749486451	4.38766279	4.4085848354	4.4293245711	4.4708569079	4.5539636759	4.4497360292	4.6986905849	4.8353686728
ENSG00000002586	9.9529421661	9.9254312669	9.8974736582	9.8421399296	9.4184345492	9.8824328866	10.1029926048	10.2617147008	10.1049905516	9.9479445832	9.7904547765	9.4712783102	10.0010470716	10.0956129771	10.0507602464	10.0049902655
ENSG00000101557	6.8153015859	6.9008055281	6.9875491353	7.1674070323	6.7675809649	7.0521495699	7.2742333842	7.4364521373	7.1429083399	6.9138236062	6.6847388725	6.2265694051	6.7306871239	6.952264262	7.0962718534	7.199093044
ENSG00000173145	10.5709592357	10.6368916158	10.7028284018	10.8347521536	10.9867323009	10.749547682	10.6176471435	10.5192340512	10.3563121923	10.5222548371	10.6884731713	11.0226935616	10.1647357578	10.3254403811	10.4862744008	10.6063390576
ENSG00000185304	4.3006791298	4.3887344712	4.4761843618	4.6480542272	4.1034441402	4.2291556067	4.2265096003	4.2114483315	4.4291704927	4.357959266	4.2867034396	4.1436721147	4.3785633059	4.3703948934	4.4660733006	4.5481850363
ENSG00000116171	5.0202167519	5.1455138803	5.2721542604	5.5327732141	4.7363968508	4.8354712453	5.0801565173	5.267576726	5.1160064539	5.0851410468	5.0522723568	4.9746744572	4.5154106883	4.7821946791	4.9744327222	5.1088201587
ENSG00000143420	9.4077720745	9.3933039357	9.3790460343	9.349353047	8.9020062436	8.7186101489	8.8612621146	8.993487746	9.2860431308	9.344390033	9.4027684675	9.51948359	9.0123277074	9.3274043047	9.2931495193	9.3175073984
ENSG00000110880	10.5871535762	10.6031222006	10.6193396667	10.6537101887	10.2337918393	10.1440688089	10.11113058	10.0942522235	10.7892086323	10.7134811368	10.6378870589	10.4884238173	9.4254371499	9.6285408164	9.8799509835	10.0751147401
ENSG00000137710	9.4926313527	9.5265507355	9.5604186686	9.6284819251	9.0935356766	8.7989031995	9.1212034145	9.2754623275	9.6973922813	9.5057121751	9.3139899616	8.9299880392	8.673759116	8.8829482586	9.0603809897	9.1901436625
