Hugo_Symbol	q
NAT1	7.780761939320891e-42
TBC1D9	2.4751689372652534e-40
ESR1	2.4751689372652534e-40
ARMT1	3.62445120866252e-40
SLC16A6	3.707352876552221e-40
SLC39A6	1.4496218814036203e-37
CDCA7	1.534306531460069e-37
RABEP1	2.0302534579943245e-37
CCDC170	7.920009774167895e-36
UBE2E3	1.306335735840482e-35
KDM4B	5.242106180362475e-35
TCEAL1	2.9313875128678674e-33
ZNF552	8.053574836498402e-33
ABAT	8.598256053240054e-33
PSAT1	8.598256053240054e-33
TPRG1	1.475885517158712e-32
THSD4	1.7418170814829116e-32
SLC7A2	1.96363843590624e-32
SCUBE2	3.5923337917072096e-32
XBP1	9.966940139151112e-32
STARD10	1.9119675333720772e-31
DACH1	2.2258774683547315e-31
NFIL3	2.7129207140261148e-31
B3GNT5	3.976214124486781e-31
EVL	9.358618464601844e-31
ANXA9	1.3518843556111938e-30
MCCC2	1.4714027110697424e-30
CA12	4.5252798567541786e-30
ARSG	3.7961273286674375e-29
PRKX	5.767876627340761e-29
GREB1	8.015960447500395e-29
MAGED2	1.0704178478473909e-28
DNALI1	1.2848801498410842e-28
KCTD6	2.2522612380997654e-28
FAM171A1	2.4616532833737523e-28
RUNDC1	3.122365925364275e-28
SYTL2	3.122365925364275e-28
FAM214A	4.277473867922322e-28
LBR	4.560303073929453e-28
TMEM26	4.666140431147895e-28
MRPS30	9.34870403137146e-28
SMCO4	1.109121398151235e-27
RARA	1.158924401678356e-27
CACNA2D2	1.2026799332795689e-27
ELOVL5	1.853641023909694e-27
KCNE4	1.9531701998618385e-27
WWP1	1.9531701998618385e-27
SUSD3	2.1042938561041883e-27
CCDC125	2.4924806103871877e-27
DNAJC12	2.4924806103871877e-27
AKR7A3	3.257416984560755e-27
SLC22A5	8.341155799401647e-27
SLC7A8	8.96167342337757e-27
INPP5J	1.10300141682225e-26
GSTP1	1.10300141682225e-26
PHGDH	1.1406487259885636e-26
CCDC82	2.0158678423130412e-26
PARD6B	2.4810835156023328e-26
CENPW	2.4810835156023328e-26
SH2D2A	2.5396791050183596e-26
BCAS1	2.701321883593837e-26
NDFIP1	2.833863034518856e-26
CBX2	4.533294811428369e-26
IFRD1	5.911134034727778e-26
APBB2	7.0022667919195e-26
CCDC176	7.944131079149605e-26
SKP1	8.13942476329093e-26
ZNF703	8.703889957353678e-26
REPS2	1.1168611145185558e-25
BTG3	1.4900317600346977e-25
YBX1	1.5091063959883063e-25
CLSTN2	1.7967537649308268e-25
CRIP1	1.8441742958907268e-25
SLC4A8	1.9363446213643022e-25
GATA3	2.0269807433514798e-25
FAM198B	2.0269807433514798e-25
AK8	2.1940764661475705e-25
FAM174A	2.2004608727839215e-25
SYTL4	2.671581696087436e-25
CELSR1	2.8965057108476014e-25
